Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, BAT1, GND1",TestPoint_Keystone_5019_Minature,3,TestPoint,
"BAT+1, BAT-1, THERMISTOR1",TestPoint_THTPad_D4.0mm_Drill2.0mm,3,Pad,
"C1, C2, C3, C4, C7",1206,5,0.1uF,
"C10, C11, C13, C14, C18",CP_Elec_4x4.5,5,1uF,
"C12, C16, C17, C8",1206,4,10uF,
C15,CAPC3216X190N,1,100uF,
"C5, C6",1206,2,22pF,
C9,CP_Radial_D6.3mm_P2.50mm,1,220u,
D1,D_SMA,1,SMAJ200CA,
D2,0805,1,VS4V8BU1ART7R,
D3,1206,1,Green,
"D4, D7",D_SMA,2,SMAJ200A,
D5,D_SMA,1,S1B,
DS1,WC1602A,1,WC1602A,
F1,FUSE_4628,1,500mA,
F2,FUSE_4628,1,5A,
J1,PinSocket_1x06_P2.54mm_Vertical,1,FTDI Basic,
"J10, J9",PinHeader_1x02_P2.54mm_Vertical,2,Voltage Range 2,
"J11, J12",PinHeader_1x02_P2.54mm_Vertical,2,Voltage Range 3,
J13,PinHeader_1x02_P2.54mm_Vertical,1,DC Current Indication,
J14,PinHeader_1x02_P2.54mm_Vertical,1,Continuity,
J16,PinHeader_1x02_P2.54mm_Vertical,1,AC Voltage Range 2,
J18,PinHeader_1x02_P2.54mm_Vertical,1,AC Voltage Range 3,
J2,CONN_575-8_KEY,1,Voltage,
J20,PinHeader_1x02_P2.54mm_Vertical,1,AC Voltage Range 1,
J21,PinHeader_1x02_P2.54mm_Vertical,1,AC Current Indication,
J22,SAMESKY_MJ-3536N,1,MJ-3536N,
J3,CONN_575-8_KEY,1,GND,
J4,CONN_575-8_KEY,1,Current,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Resistance Meas,
J6,PinHeader_1x02_P2.54mm_Vertical,1,ON/OFF,
"J7, J8",PinHeader_1x02_P2.54mm_Vertical,2,Voltage Range 1,
R1,2512,1,0.05,
"R10, R14, R20",1206,3,390,
"R11, R12, R13, R15, R21, R7",1206,6,10k,
R16,1206,1,49.5,
R17,1206,1,100,
"R18, R8",1206,2,1k,
"R19, R24",1206,2,1.2k,
R2,1206,1,470k,
R22,1206,1,180,
R23,1206,1,680,
"R25, R34, R39, R9",1206,4,R?,
"R26, R31",1206,2,1M,
R3,1206,1,330k,
"R30, R4",1206,2,100k,
R32,1206,1,4.99M,
R33,1206,1,10M,
R36,1206,1,2.4k,
R37,1206,1,3k,
R38,1206,1,1.8k,
R5,1206,1,47k,
R6,1206,1,43k,
RV1,Potentiometer_Bourns_3266Y_Vertical,1,10k - Pot,
SW1,SMT_FS,1,PTS526 SK15 SMTR2 LFS,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,PDIP-8_N,1,AD736,
"U3, U8",MODULE_ZC261500,2,ADS1115IDGS,
U4,DIP794W47P254L1943H457Q16,1,MAX4617CPE,
U5,SOT-223-3_TabPin2,1,LM317_SOT-223,
U7,SOT-23-5,1,TPS60400DBV,
Y1,Crystal_HC49-U_Vertical,1,16MHz,
