Designator,Mid X,Mid Y,Rotation,Layer
5V1,150.647,-222.1566,90.0,top
BAT1,142.7984,-218.3212,180.0,top
C1,134.575,-184.6346,180.0,top
C10,156.997,-208.085,180.0,top
C11,168.61,-135.988,0.0,top
C12,164.871,-209.482,0.0,top
C13,165.252,-223.579,180.0,top
C14,177.65,-143.708,270.0,top
C15,163.69,-139.408,180.0,top
C16,159.65,-138.4705,270.0,top
C17,172.0875,-147.408,0.0,top
C18,177.65,-151.208,270.0,top
C2,166.65,-153.9705,90.0,top
C3,134.5942,-168.461,45.0,top
C4,130.265,-203.5055,270.0,top
C5,125.31373,-156.990269,90.0,top
C6,122.64673,-159.149269,270.0,top
C7,165.6525,-202.378,0.0,top
C8,134.6704,-217.9402,180.0,top
C9,124.03,-136.088,270.0,top
D1,191.922,-170.112,270.0,top
D2,183.4818,-193.5308,180.0,top
D3,129.2856,-186.7236,180.0,top
D4,201.15,-140.198,90.0,top
D5,162.839,-217.102,90.0,top
D7,183.83,-164.758,180.0,top
DS1,164.49045,-89.67485,0.0,top
F1,201.1168,-158.428,90.0,top
F2,187.59,-210.378,90.0,top
GND1,124.2564,-218.7022,270.0,top
J10,159.634,-184.7374,0.0,top
J11,179.476,-192.2608,0.0,top
J12,169.365,-184.717,0.0,top
J13,179.1056,-184.717,0.0,top
J14,153.72,-172.058,0.0,top
J16,170.08,-172.088,0.0,top
J18,165.75,-172.048,0.0,top
J2,201.193,-179.61,0.0,top
J20,174.19,-172.038,0.0,top
J21,161.28,-172.138,0.0,top
J22,177.7525,-217.728,0.0,top
J3,201.193,-198.61,0.0,top
J4,201.193,-217.61,0.0,top
J5,157.48,-172.058,0.0,top
J6,147.721,-211.006,90.0,top
J7,147.218,-192.2608,0.0,top
J8,150.82,-184.738,0.0,top
J9,165.8108,-192.2558,0.0,top
R1,194.59,-206.328,90.0,top
R10,129.3364,-183.9804,0.0,top
R11,130.265,-198.4255,90.0,top
R12,138.54,-198.878,0.0,top
R13,138.54,-201.378,0.0,top
R14,148.79,-111.608,0.0,top
R15,132.7654,-213.4952,180.0,top
R16,138.19,-150.698,90.0,top
R17,140.72,-150.688,90.0,top
R18,143.26,-150.658,90.0,top
R19,164.871,-212.022,0.0,top
R2,151.536,-190.9908,0.0,top
R20,158.648,-212.276,0.0,top
R21,135.62,-150.648,90.0,top
R22,153.949,-182.939,270.0,top
R23,163.6878,-183.066,270.0,top
R24,173.416,-183.066,270.0,top
R25,183.1188,-183.066,270.0,top
R26,170.65,-151.358,270.0,top
R3,156.5144,-190.9908,0.0,top
R30,145.82,-135.468,270.0,top
R31,135.62,-135.828,270.0,top
R32,143.23,-135.758,270.0,top
R33,138.21,-135.808,270.0,top
R34,157.47,-177.928,90.0,top
R36,170.13,-177.938,90.0,top
R37,165.74,-177.928,90.0,top
R38,175.92,-177.808,90.0,top
R39,161.27,-177.938,90.0,top
R4,161.4928,-190.9908,0.0,top
R5,170.1288,-190.9908,0.0,top
R6,175.158,-190.9908,0.0,top
R7,183.794,-190.9908,0.0,top
R8,147.72,-179.828,270.0,top
R9,151.16,-178.168,90.0,top
RV1,135.59,-113.378,0.0,top
SW1,132.748,-192.392,180.0,top
U1,133.686,-176.7606,180.0,top
U2,163.84,-146.138,180.0,top
U3,155.7,-198.878,0.0,top
U4,136.9,-143.288,270.0,top
U5,156.997,-218.0926,90.0,top
U7,170.7,-142.7705,270.0,top
U8,155.59,-148.868,90.0,top
Y1,127.08465954609518,-163.09334045390483,45.0,top
