Designator,Mid X,Mid Y,Rotation,Layer
BT1,152.3492,-99.2632,180.0,bottom
C1,133.7056,-115.4684,0.0,top
C10,134.3953,-86.2623,0.0,top
C2,134.2138,-128.76475,180.0,top
C3,165.2224,-82.0974,90.0,top
C4,134.3122,-137.75635,270.0,top
C5,139.1382,-137.75635,90.0,top
C6,147.1888,-126.6028,0.0,top
C7,158.6554,-127.8728,270.0,top
C8,131.4997,-81.4363,270.0,top
C9,137.3417,-82.2999,90.0,top
D1,166.878,-67.778,180.0,top
D2,166.878,-71.334,180.0,top
D3,166.878,-74.89,180.0,top
D4,138.684,-71.08,0.0,top
D5,138.43,-113.3602,0.0,top
F1,162.8718,-120.0496,180.0,top
F2,162.9386,-130.5652,180.0,top
F3,162.9386,-127.3648,180.0,top
J1,168.305,-87.406,0.0,top
J2,137.4352,-93.6498,180.0,top
J3,152.4074,-69.0812,0.0,top
J4,168.3258,-124.9772,0.0,top
R1,147.1888,-122.5388,0.0,top
R10,138.4554,-115.4938,180.0,top
R11,165.2224,-87.676,270.0,top
R2,147.1888,-124.5708,180.0,top
R3,147.1888,-130.6668,0.0,top
R4,147.1888,-128.6348,180.0,top
R5,162.1606,-123.7072,0.0,top
R6,173.72,-67.778,180.0,top
R7,173.736,-71.334,180.0,top
R8,173.72,-74.89,180.0,top
R9,138.684,-73.874,180.0,top
SW1,152.2984,-97.6376,0.0,top
SW2,129.413,-109.8042,90.0,top
SW3,127.889,-71.4248,180.0,bottom
U1,153.4738,-126.6028,270.0,top
U2,134.3662,-122.46555,0.0,top
U3,152.3758,-81.6864,0.0,top
U4,134.2937,-82.4523,90.0,top
Y1,136.776,-132.69115,180.0,top
